Hotel_Name,Property Description,Hotel Website,Country,Address,Hotel star rating,Ocean View,City View,Family Rooms,Smoking Rooms Available,Non-Smoking Rooms Available,Suites,Free Parking,Free Internet,Pool,Fitness Centre/Gym,Bar/Lounge,Play Area,Pets Allowed,Cab Services
The Leonard Hotel,"The Leonard Hotel is a luxury boutique hotel located in the Marylebone neighborhood of London. It offers stylish and well-appointed rooms, a restaurant, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its elegant design and attentive service, The Leonard Hotel offers a comfortable and memorable stay for guests seeking a refined experience in the heart of London.",https://www.theleonard.com/,UK,"15 Seymour St, London",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
DoubleTree by Hilton London Hyde Park,"DoubleTree by Hilton London Hyde Park is a modern hotel located near Hyde Park in London. It offers comfortable rooms, a fitness center, and an on-site restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and warm hospitality, DoubleTree by Hilton London Hyde Park offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of London.",https://www.hilton.com/en/hotels/lonhydi-doubletree-london-hyde-park/,UK,"150 Bayswater Rd, London",4,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
The Ritz London,"The Ritz London is an iconic luxury hotel located in the heart of London. It offers lavish rooms, Michelin-starred restaurants, a renowned afternoon tea service, and elegant bars. The hotel's central location provides easy access to cultural attractions, shopping districts, and entertainment venues. With its timeless elegance and impeccable service, The Ritz London offers an unforgettable and luxurious stay for guests seeking a refined experience in the capital city.",https://www.theritzlondon.com/,UK,"150 Piccadilly, London",5,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
M by Montcalm Shoreditch London Tech City,"M by Montcalm Shoreditch London Tech City is a contemporary hotel located in the vibrant Shoreditch neighborhood of London. It offers stylish and well-appointed rooms, a spa, and multiple dining options. The hotel's central location provides easy access to cultural attractions, shopping districts, and entertainment venues. With its modern design and upscale amenities, M by Montcalm Shoreditch offers a comfortable and enjoyable stay for guests exploring the dynamic atmosphere of East London.",https://www.mbymontcalm.co.uk/,UK,"151-157 City Rd, London",5,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Legend Saint Germain by Elegancia,"Legend Saint Germain by Elegancia is a boutique hotel located in the Saint-Germain-des-Prés neighborhood of Paris. It offers modern and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its contemporary design and warm hospitality, Legend Saint Germain offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of Paris.",https://www.legendhotelparis.com/,France,"151 Bis Rue de Rennes, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Clayton Crown Hotel London,"Clayton Crown Hotel London is a modern hotel located in the Cricklewood neighborhood of London. It offers comfortable rooms, a fitness center, and an on-site restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and warm hospitality, Clayton Crown Hotel London offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of London.",https://www.claytoncrownhotel.com/,UK,"152 Cricklewood Broadway, London",4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Au Manoir Saint Germain,"Au Manoir Saint Germain is a charming boutique hotel located in the Saint-Germain-des-Prés neighborhood of Paris. It offers elegant rooms with a classic decor, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its refined ambiance and attentive service, Au Manoir Saint Germain offers a comfortable and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.aumanoirparis.com/,France,"153 Boulevard Saint-Germain, Paris",4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
St Paul s Hotel,"St Paul's Hotel is a boutique hotel located in the Hammersmith neighborhood of London. It offers stylish and well-appointedrooms, a restaurant, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its contemporary design and personalized service, St Paul's Hotel offers a comfortable and memorable stay for guests exploring the vibrant atmosphere of London.",https://www.stpaulhotel.co.uk/,UK,"153 Hammersmith Rd, London",4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Best Western S vres Montparnasse,"Best Western Sèvres Montparnasse is a modern hotel located in the Montparnasse neighborhood of Paris. It offers comfortable rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Best Western Sèvres Montparnasse offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.bestwestern.fr/en/hotel-paris-6eme-Best-Western-Sevres-Montparnasse-93508,France,153 Rue de Vaugirard,4,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
The Bloomsbury Hotel,"The Bloomsbury Hotel is a luxury hotel located in the Bloomsbury neighborhood of London. It offers stylish and well-appointed rooms, a restaurant, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its elegant design and attentive service, The Bloomsbury Hotel offers a comfortable and memorable stay for guests seeking a refined experience in the heart of London.",https://www.doylecollection.com/hotels/the-bloomsbury-hotel,UK,"16-22 Great Russell St, London",4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Nolinski Paris,"Nolinski Paris is a luxury hotel located in the 1st arrondissement of Paris. It offers elegant and stylish rooms, a gourmet restaurant, a spa, and a fitness center. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its luxurious amenities and personalized service, Nolinski Paris offers a sophisticated and memorable stay for guests seeking a high-end experience in the heart of Paris.",https://www.nolinskiparis.com/,France,"16 Avenue de l'Opéra, Paris",5,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Le Tourville Eiffel,"Le Tourville Eiffel is a boutique hotel located near the Eiffel Tower in Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Le Tourville Eiffel offers a pleasant and convenient stay for guests exploring the romantic atmosphere of Paris.",https://www.letourville.com/,France,"16 Avenue de Tourville, Paris",4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
Paris Marriott Opera Ambassador Hotel,"Paris Marriott Opera Ambassador Hotel is a luxury hotel located near the Opéra Garnier in Paris. It offers stylish and well-appointed rooms, a fitness center, and a restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its upscale amenities and attentive service, Paris Marriott Opera Ambassador Hotel offers a comfortable and enjoyable stay for guests seeking a refined experience in the heart of Paris.",https://www.marriott.com/hotels/travel/paroa-paris-marriott-opera-ambassador-hotel/,France,"16 Boulevard Haussmann, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel Indigo London Paddington,"Hotel Indigo London Paddington is a boutique hotel located in the Paddington neighborhood of London. It offers modern and well-appointed rooms, a restaurant, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its contemporary design and personalized service, Hotel Indigo London Paddington offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of London.",https://www.ihg.com/hotelindigo/hotels/gb/en/london/lonin/hoteldetail,UK,"16 London St, London",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Idol Hotel,"Idol Hotel is a boutique hotel located in the 8th arrondissement of Paris. It offers stylish and well-appointed rooms inspired by the world of music, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its unique design and musical theme, Idol Hotel offers a memorable and enjoyable stay for guests seeking a distinctive experience in the heart of Paris.",https://www.idolhotel-paris.com/,France,"16 Rue d'Edimbourg, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel California Champs Elys es,"Hotel California Champs Élysées is a luxury hotel located near the ChampsÉlysées in Paris. It offers elegant and well-appointed rooms, a gourmet restaurant, and a bar. The hotel's central location provides easy access to luxury shopping, iconic landmarks, and cultural attractions. With its sophisticated design and personalized service, Hotel California Champs Élysées offers a luxurious and memorable stay for guests seeking a refined experience in the heart of Paris.",https://www.hotel-california-paris.com/,France,"16 Rue de Berri, Paris",4,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel de Seze,"Hotel de Sèze is a boutique hotel located in the 9th arrondissement of Paris. It offers stylish and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its contemporary design and warm hospitality, Hotel de Sèze offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of Paris.",https://www.hoteldeseze.com/,France,"16 Rue de Sèze, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Number Sixteen,"Number Sixteen is a luxury boutique hotel located in the South Kensington neighborhood of London. It offers elegant and individually designed rooms, a garden, and a stylish lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its upscale amenities and attentive service, Number Sixteen offers a refined and memorable stay for guests seeking a sophisticated experience in London.",https://www.firmdalehotels.com/hotels/london/number-sixteen,UK,"16 Sumner Pl, London",4,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Hotel Xenia Autograph Collection,"Hotel Xenia Autograph Collection is a boutique hotel located in the Kensington neighborhood of London. It offers stylish and well-appointed rooms, a restaurant, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its modern design and personalized service, Hotel Xenia Autograph Collection offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of London.",https://www.hotelxenia.co.uk/,UK,"160 Cromwell Rd, London",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel Hor,"Hotel Hor is a boutique hotel located in the 11th arrondissement of Paris. It offers contemporary and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its modern design and warm hospitality, Hotel Hor offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotel-hor.com/,France,"160 Rue La Fayette, Paris",3,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Britannia International Hotel Canary Wharf,"Britannia International Hotel Canary Wharf is a modern hotel located in the Canary Wharf area of London. It offers comfortable rooms, multiple dining options, and a fitness center. The hotel's central location provides easy access to business and financial districts, shopping areas, and transportation links. With its convenient amenities and practicality, Britannia International Hotel Canary Wharf offers a pleasant stay for guests visiting Canary Wharf for business or leisure.",https://www.britanniahotels.com/hotels/the-international-hotel/,UK,"163 Marsh Wall, London",4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Best Western Op ra Batignolles,"Best Western Opéra Batignolles is a modern hotel located in the Batignolles neighborhood of Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Best Western Opéra Batignolles offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.bestwestern.fr/en/hotel-paris-17eme-Best-Western-Opera-Batignolles-93675,France,"165 Rue de Rome, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel de Banville,"Hotel de Banville is a boutique hotel located in the 17th arrondissement of Paris. It offers elegant and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its refined ambiance and personalized service, Hotel de Banville offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of Paris.",https://www.hoteldebanvilleparis.com,France,"166 Boulevard Berthier, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Villa Eugenie,"Villa Eugenie is a boutique hotel located in the Montparnasse neighborhood of Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy accessto cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Villa Eugenie offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.villaeugenie.com/,France,"167 Rue de Rome, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hilton London Euston,"Hilton London Euston is a modern hotel located near Euston Station in London. It offers comfortable rooms, a fitness center, and multiple dining options. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and renowned Hilton hospitality, Hilton London Euston offers a pleasant stay for guests visiting London for business or leisure.",https://www.hilton.com/en/hotels/lonedhi-hilton-london-euston/,UK,"17-18 Upper Woburn Pl, London",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Egerton House,"Egerton House is a luxury boutique hotel located in the Knightsbridge neighborhood of London. It offers elegant and individually designed rooms, a drawing-room serving afternoon tea, and a cozy bar. The hotel's central location provides easy access to luxury shopping, cultural attractions, and dining options. With its upscale amenities and personalized service, Egerton House offers a refined and memorable stay for guests seeking a sophisticated experience in London.",https://www.egertonhousehotel.com/,UK,"17-19 Egerton Terrace, London",5,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
Millennium Hotel London Knightsbridge,"Millennium Hotel London Knightsbridge is a stylish hotel located in the Knightsbridge neighborhood of London. It offers comfortable rooms, a fitness center, and multiple dining options. The hotel's central location provides easy access to luxury shopping, cultural attractions, and Hyde Park. With its convenient amenities and modern design, Millennium Hotel London Knightsbridge offers a pleasant stay for guests exploring the vibrant atmosphere of London.",https://www.millenniumhotels.com/en/london/millennium-hotel-london-knightsbridge/,UK,"17-25 Sloane St, London",4,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Hotel Raphael,"Hotel Raphael is a luxury hotel located near the Arc de Triomphe in Paris. It offers elegant and well-appointed rooms, a rooftop terrace with panoramic views of Paris, and a gourmet restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its upscale amenities and refined ambiance, Hotel Raphael offers a luxurious and memorable stay for guests seeking an unforgettable experience in the heart of Paris.",https://www.raphael-hotel.com/,France,"17 Avenue Kléber, Paris",5,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Le 7 Eiffel Hotel,"Le 7 Eiffel Hotel is a boutique hotel located near the Eiffel Tower in Paris. It offers stylish and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its modern design and personalized service, Le 7 Eiffel Hotel offers a comfortable and enjoyable stay for guests exploring the romantic atmosphere of Paris.",https://www.le7eiffel.com/,France,"17 Bis Rue Amélie, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Paris Marriott Rive Gauche Hotel,"Paris Marriott Rive Gauche Hotel is a modern hotel located in the Left Bank area of Paris. It offers comfortable rooms, a fitness center, and multiple dining options. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and Marriott's renowned hospitality, Paris Marriott Rive Gauche Hotel offers a pleasant stay for guests exploring the vibrant atmosphere of Paris.",https://www.marriott.com/hotels/travel/parst-paris-marriott-rive-gauche-hotel-and-conference-center/,France,"17 Boulevard Saint-Jacques, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel La Place,"Hotel La Place is a boutique hotel located in the 9th arrondissement of Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Hotel La Place offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotel-la-place.com/,France,"17 Place du Panthéon, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel Le Pera,"Hotel Le Pera is a boutique hotel located in the 9th arrondissement of Paris. It offers stylish and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining",https://www.hotellepera.com/,France,"17 Rue de Caumartin, Paris",4,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel Bedford,"Hotel Bedford is a traditional hotel located in the heart of Paris, near the famous Madeleine Church. It offers comfortable rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Hotel Bedford offers a pleasant stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotel-bedford.com/,France,"17 Rue de l'Arcade, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Drawing Hotel,"Drawing Hotel is a unique art-themed hotel located in the 1st arrondissement of Paris. It offers stylish and creatively designed rooms, an art gallery, and a trendy bar. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its contemporary design and artistic atmosphere, Drawing Hotel offers a memorable and inspiring stay for guests seeking a creative experience in Paris.",https://www.drawinghotel.com/,France,"17 Rue de Richelieu, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Novotel Paris Centre Gare Montparnasse,"Novotel Paris Centre Gare Montparnasse is a modern hotel located near the Montparnasse train station in Paris. It offers comfortable rooms, a fitness center, and a restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and contemporary design, Novotel Paris Centre Gare Montparnasse offers a pleasant stay for guests visiting Paris for business or leisure.",https://all.accor.com/hotel/1972/index.en.shtml,France,"17 Rue du Cotentin, Paris",4,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
D clic Hotel,"Déclic Hotel is a boutique hotel located in the Montmartre neighborhood of Paris. It offers stylish and well-appointed rooms, a rooftop terrace with panoramic views of the city, and a breakfast room. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its modern design and trendy ambiance, Déclic Hotel offers a comfortable and enjoyable stay for guests exploring the artistic and bohemian atmosphere of Montmartre.",https://www.declichotel.com/,France,"17 Rue de Lyon, Paris",3,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Villa d Estr es,"Villa d'Estrees is a luxury boutique hotel located in the Latin Quarter of Paris. It offers elegant and spacious suites, a courtyard garden, and a breakfast room. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its upscale amenities and refined atmosphere, Villa d'Estrees offers a luxurious and memorable stay for guests seeking a sophisticated experience in the heart of Paris.",https://www.villa-estrees.com/,France,"17 Rue Gît-le-Cœur, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Bulgari Hotel London,"Bulgari Hotel London is a luxury hotel located in the exclusive neighborhood of Knightsbridge. It offers elegant and luxurious rooms, a spa, and multiple dining options. The hotel's central location provides easy access to luxury shopping, cultural attractions, and Hyde Park. With its upscale amenities and impeccable service, Bulgari Hotel London offers a refined and memorable stay for guests seeking a luxurious experience in the heart of London.",https://www.bulgarihotels.com/en_US/london.html,UK,"171 Knightsbridge, London",5,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Novotel London Greenwich,"Novotel London Greenwich is a modern hotel located in the Greenwich area of London. It offers comfortable rooms, a fitness center, and a restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and contemporary design, Novotel London Greenwich offers a pleasant stay for guests exploring the vibrant atmosphere of London.",https://all.accor.com/hotel/3476/index.en.shtml,UK,"173-185 Greenwich High Rd, London",4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Park Avenue Baker Street,"Park Avenue Baker Street is a boutique hotel located near Baker Street in London. It offers comfortable rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and warm hospitality, ParkAvenue Baker Street offers a pleasant and convenient stay for guests visiting London for business or leisure.",https://www.parkavenuebakerstreet.com/,UK,"173 Gloucester Pl, London",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hotel Plaza Elys es,"Hotel Plaza Elysées is a boutique hotel located near the Champs-Élysées in Paris. It offers stylish and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, luxury shopping, and dining options. With its modern design and personalized service, Hotel Plaza Elysées offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of Paris.",https://www.plaza-elysees.com/,France,"177 Boulevard Haussmann, Paris",4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hotel Champs Elys es Friedland by Happyculture,"Hotel Champs-Élysées Friedland is a boutique hotel located near the Champs-Élysées in Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, luxury shopping, and dining options. With its modern design and warm hospitality, Hotel Champs-Élysées Friedland offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.happyculture.com/en/hotels/hotel-friedland,France,"177 Rue du Faubourg Saint-Honoré, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Malmaison London,"Malmaison London is a stylish boutique hotel located in the heart of London. It offers contemporary and luxurious rooms, a trendy restaurant, and a chic bar. The hotel's central location provides easy access to cultural attractions, shopping districts, and entertainment venues. With its upscale amenities and fashionable ambiance, Malmaison London offers a sophisticated and memorable stay for guests seeking a stylish experience in the city.",https://www.malmaison.com/,UK,"18-21 Charterhouse Square, London",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
The Park City Grand Plaza Kensington Hotel,"The Park City Grand Plaza Kensington Hotel is a modern hotel located in the Kensington neighborhood of London. It offers comfortable rooms, a fitness center, and a restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and contemporary design, The Park City Grand Plaza Kensington Hotel offers a pleasant stay for guests exploring the vibrant atmosphere of London.",https://www.parkcitylondon.com/,UK,"18-30 Lexham Gardens, London",4,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Park Plaza London Riverbank,"Park Plaza London Riverbank is a contemporary hotel located on the south side of the River Thames in London. It offers comfortable rooms, a fitness center, and multiple dining options. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and modern design, Park Plaza London Riverbank offers a pleasant stay for guests visiting London for business or leisure.",https://www.parkplaza.co.uk/london-hotel-gb-se1-7tj/gbripar,UK,"18 Albert Embankment, London",4,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Pullman Paris Tour Eiffel,"Pullman Paris Tour Eiffel is a modern hotel located near the Eiffel Tower in Paris. It offers stylish and well-appointed rooms, a fitness center, and multiple dining options. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its contemporary design and upscale amenities, Pullman Paris Tour Eiffel offers a comfortable and enjoyable stay for guests exploring the vibrant atmosphere of Paris.",https://all.accor.com/hotel/7229/index.en.shtml,France,"18 Avenue de Suffren, Paris",4,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Danubius Hotel Regents Park,"Danubius Hotel Regents Park is a modern hotel located near Regent's Park in London. It offers comfortable rooms, a fitness center, and a restaurant. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and friendly service, Danubius Hotel Regents Park offers a pleasant stay for guests visiting London for business or leisure.",https://www.danubiushotels.com/en/our-hotels-london/danubius-hotel-regents-park,UK,"18 Lodge Rd, London",4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Hotel Bachaumont,"Hotel Bachaumont is a boutique hotel located in the 2nd arrondissement of Paris. It offers stylish and well-appointed rooms, a trendy restaurant, and a chic bar. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its sophisticated design and culinary offerings, Hotel Bachaumont offers a stylish and memorable stay for guests seeking a fashionable experience in Paris.",https://www.hotelbachaumont.com/,France,"18 Rue Bachaumont, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Franklin Roosevelt,"Franklin Roosevelt is a charming boutique hotel located near the Champs-Élysées in Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, luxury shopping, and dining options. With its classic elegance and warm hospitality, Franklin Roosevelt offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotel-franklin-roosevelt.com/,France,"18 Rue Clément Marot, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hotel Horset Op ra Best Western Premier Collection,"Hotel Horset Opéra is a boutique hotel located near the Opéra Garnier in Paris. It offers comfortable and well-appointed rooms, a breakfast room, and a cozy lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its convenient amenities and warm hospitality, Hotel Horset Opéra offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotel-horsetopera.com/,France,"18 Rue d'Antin, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Best Western Paris Gare Saint Lazare,"Best Western Paris Gare Saint Lazare is a modern hotellocated near the Gare Saint Lazare train station in Paris. It offers comfortable rooms, a breakfast room, and a lounge area. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its convenient amenities and friendly service, Best Western Paris Gare Saint Lazare offers a pleasant stay for guests visiting Paris for business or leisure.",https://www.bestwestern.fr/en/hotel-paris-8eme-Best-Western-Paris-Gare-Saint-Lazare-93802,France,"18 Rue de Constantinople, Paris",4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Splendide Royal Paris,"Splendide Royal Paris is a luxury hotel located in the 8th arrondissement of Paris. It offers elegant and luxurious rooms, a gourmet restaurant, and a bar with panoramic views of the city. The hotel's central location provides easy access to cultural attractions, luxury shopping, and dining options. With its upscale amenities and refined ambiance, Splendide Royal Paris offers a sophisticated and memorable stay for guests seeking a luxurious experience in the heart of Paris.",https://www.robertonaldicollection.com/en/hotel/splendide-royal-paris/,France,"18 Rue du Mont Thabor, Paris",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
The Rockwell,"The Rockwell is a boutique hotel located in the Kensington neighborhood of London. It offers stylish and well-appointed rooms, a garden terrace, and a bar. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its contemporary design and comfortable amenities, The Rockwell offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of London.",https://www.therockwell.com/,UK,"18-20 Hogarth Rd, London",4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
The LaLit London,"The LaLit London is a luxury hotel located near Tower Bridge in London. It offers elegant and spacious rooms, a rooftop terrace with panoramic views, and multiple dining options. The hotel's central location provides easy access to cultural attractions, shopping districts, and transportation links. With its upscale amenities and personalized service, The LaLit London offers a luxurious and memorable stay for guests seeking a sophisticated experience in the city.",https://www.thelalit.com/the-lalit-london/,UK,"181 Tooley St, London",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
